student_id,age,country_region,device_type,education_background,course_level,course_category,course_start_date,week_of_year,sessions,time_spent_hours,videos_watched,quiz_attempts,assignments_submitted,forum_posts,avg_quiz_score,attendance_rate,completion_status,final_score
700201,27,Asia,Laptop,Graduate,Beginner,Programming,2024-11-03,44,22,17.7,40,7,4,2,55.4,1,0,83
700202,21,Americas,Mobile,Undergrad,Intermediate,Marketing,2024-07-07,27,22,46.2,19,11,7,1,56.6,0.753,0,70.3
700203,27,Americas,Mobile,Undergrad,Beginner,Business,2024-10-23,43,38,31.2,60,7,2,4,,0.894,1,91.8
700204,25,Asia,Mobile,Graduate,Intermediate,Data,2024-08-16,33,20,16.9,33,3,1,1,76.6,0.647,0,66.4
700205,31,Asia,Laptop,WorkingPro,Advanced,Marketing,2024-11-08,45,26,6,45,5,2,2,61.7,1,0,63.8
700206,28,Asia,Mobile,HighSchool,Beginner,Programming,2024-10-27,43,30,16,56,7,3,1,64.7,0.77,0,78.2
700207,28,Europe,Mobile,WorkingPro,Intermediate,Programming,2024-04-01,14,10,11.1,0,3,5,2,59,0.773,0,69.8
700208,16,Europe,Laptop,Undergrad,Intermediate,Design,2024-06-14,24,25,34.3,40,7,5,4,63.3,0.681,1,83.3
700209,25,Europe,Mobile,Undergrad,Beginner,Data,2024-11-26,48,40,6,53,5,0,2,45.2,1,0,75.8
700210,21,Asia,Laptop,Graduate,Intermediate,Marketing,2024-12-15,50,19,7.8,20,6,3,0,47.5,0.935,0,69
700211,36,Asia,Tablet,WorkingPro,Intermediate,Marketing,2024-05-01,18,25,5.2,42,4,3,1,66.6,0.766,0,56.5
700212,27,Asia,Mobile,Undergrad,Intermediate,Marketing,2024-03-28,13,24,7.5,46,7,3,4,59.9,0.962,0,62.1
